benchmark,cpu_lim,mem_lim,data_size,run_no,cpu_util
encrypt,48,2048,35000,1,102.27739564234643
encrypt,48,2048,35000,2,102.49718459932453
encrypt,48,2048,35000,3,102.28583878210058
encrypt,48,2048,35000,4,102.27191147757671
encrypt,48,2048,35000,5,102.20000313653979
encrypt,48,2048,35000,6,102.02433138140617
encrypt,48,2048,35000,7,102.32389199911445
encrypt,48,2048,35000,8,102.32729611681496
encrypt,48,2048,35000,9,102.41857550276501
encrypt,48,2048,35000,10,102.21204075894246
encrypt,48,2048,500,1,12.845217047981722
encrypt,48,2048,500,2,13.481420128772012
encrypt,48,2048,500,3,12.94040648080933
encrypt,48,2048,500,4,12.87691921798345
encrypt,48,2048,500,5,12.781553755043007
encrypt,48,2048,500,6,13.414449698101464
encrypt,48,2048,500,7,12.845546666666666
encrypt,48,2048,500,8,12.600428350623966
encrypt,48,2048,500,9,13.063049059360733
encrypt,48,2048,500,10,12.983221156149149
encrypt,16,2048,35000,1,106.43275420467975
encrypt,16,2048,35000,2,102.32428716477142
encrypt,16,2048,35000,3,102.37143635619552
encrypt,16,2048,35000,4,102.39020988531595
encrypt,16,2048,35000,5,102.17888681865594
encrypt,16,2048,35000,6,102.21836444854353
encrypt,16,2048,35000,7,102.28079453540326
encrypt,16,2048,35000,8,101.95429561916811
encrypt,16,2048,35000,9,102.14010446240658
encrypt,16,2048,35000,10,102.38348278983548
encrypt,96,2048,10000,1,102.30233949683594
encrypt,96,2048,10000,2,101.94507749144812
encrypt,96,2048,10000,3,101.9668796754564
encrypt,96,2048,10000,4,101.59393277890163
encrypt,96,2048,10000,5,101.93073775656325
encrypt,96,2048,10000,6,102.02506862205927
encrypt,96,2048,10000,7,102.05696437347464
encrypt,96,2048,10000,8,102.22308240261219
encrypt,96,2048,10000,9,102.21765364431488
encrypt,96,2048,10000,10,102.02159589620159
encrypt,64,2048,20000,1,102.95298034241841
encrypt,64,2048,20000,2,102.11533804111245
encrypt,64,2048,20000,3,102.37840684971951
encrypt,64,2048,20000,4,102.09651968953742
encrypt,64,2048,20000,5,102.2910041670382
encrypt,64,2048,20000,6,102.15142180217201
encrypt,64,2048,20000,7,102.37197986910802
encrypt,64,2048,20000,8,102.05171964842307
encrypt,64,2048,20000,9,102.0560131760408
encrypt,64,2048,20000,10,102.48313176738884
encrypt,32,2048,500,1,12.88096632489191
encrypt,32,2048,500,2,12.119742368961582
encrypt,32,2048,500,3,12.792467119636392
encrypt,32,2048,500,4,12.484893365384615
encrypt,32,2048,500,5,12.356571060978332
encrypt,32,2048,500,6,13.241533224450963
encrypt,32,2048,500,7,13.31291268022181
encrypt,32,2048,500,8,12.99410112079701
encrypt,32,2048,500,9,12.556956154920263
encrypt,32,2048,500,10,12.748904824471431
encrypt,96,2048,20000,1,102.50497795729592
encrypt,96,2048,20000,2,101.97138846381324
encrypt,96,2048,20000,3,102.15186183371384
encrypt,96,2048,20000,4,102.26768178568642
encrypt,96,2048,20000,5,102.07936959598199
encrypt,96,2048,20000,6,102.17416796068797
encrypt,96,2048,20000,7,102.03334943328603
encrypt,96,2048,20000,8,102.1976651986122
encrypt,96,2048,20000,9,102.41224180592201
encrypt,96,2048,20000,10,102.0624160091481
encrypt,80,2048,50000,1,102.65296181775444
encrypt,80,2048,50000,2,102.37500004063453
encrypt,80,2048,50000,3,102.32627467643466
encrypt,80,2048,50000,4,102.45614156403475
encrypt,80,2048,50000,5,102.34978942089552
encrypt,80,2048,50000,6,102.21490931836887
encrypt,80,2048,50000,7,102.31573299732241
encrypt,80,2048,50000,8,102.24364789750628
encrypt,80,2048,50000,9,102.30417338233133
