benchmark,cpu_lim,mem_lim,data_size,run_no,exec_time,mem_usage,mem_util
encrypt,32,2048,35000,1,8.316691160202026,16.16796875,0.7894515991210938
encrypt,32,2048,35000,2,8.314334392547607,16.16796875,0.7894515991210938
encrypt,32,2048,35000,3,8.297319889068604,16.16796875,0.7894515991210938
encrypt,32,2048,35000,4,8.293268203735352,16.16796875,0.7894515991210938
encrypt,32,2048,35000,5,8.29894232749939,16.16796875,0.7894515991210938
encrypt,32,2048,35000,6,8.303637027740479,16.16796875,0.7894515991210938
encrypt,32,2048,35000,7,8.29770278930664,16.16796875,0.7894515991210938
encrypt,32,2048,35000,8,8.291623592376709,16.16796875,0.7894515991210938
encrypt,32,2048,35000,9,8.291727066040039,16.16796875,0.7894515991210938
encrypt,32,2048,35000,10,8.292664289474487,16.16796875,0.7894515991210938
encrypt,96,2048,500,1,0.1308443546295166,16.25390625,0.7936477661132812
encrypt,96,2048,500,2,0.13608694076538086,16.25390625,0.7936477661132812
encrypt,96,2048,500,3,0.13251018524169922,16.25390625,0.7936477661132812
encrypt,96,2048,500,4,0.12898039817810059,16.25390625,0.7936477661132812
encrypt,96,2048,500,5,0.12911486625671387,16.25390625,0.7936477661132812
encrypt,96,2048,500,6,0.12920355796813965,16.25390625,0.7936477661132812
encrypt,96,2048,500,7,0.12867045402526855,16.25390625,0.7936477661132812
encrypt,96,2048,500,8,0.13160443305969238,16.25390625,0.7936477661132812
encrypt,96,2048,500,9,0.1285567283630371,16.25390625,0.7936477661132812
encrypt,96,2048,500,10,0.1289501190185547,16.25390625,0.7936477661132812
encrypt,48,2048,5000,1,1.220062494277954,16.921875,0.826263427734375
encrypt,48,2048,5000,2,1.2028639316558838,16.921875,0.826263427734375
encrypt,48,2048,5000,3,1.2032241821289062,16.921875,0.826263427734375
encrypt,48,2048,5000,4,1.200211524963379,16.921875,0.826263427734375
encrypt,48,2048,5000,5,1.2029337882995605,16.921875,0.826263427734375
encrypt,48,2048,5000,6,1.2044007778167725,16.921875,0.826263427734375
encrypt,48,2048,5000,7,1.2087669372558594,16.921875,0.826263427734375
encrypt,48,2048,5000,8,1.2046418190002441,16.921875,0.826263427734375
encrypt,48,2048,5000,9,1.2008216381072998,16.921875,0.826263427734375
encrypt,48,2048,5000,10,1.2029857635498047,16.921875,0.826263427734375
encrypt,16,2048,10000,1,2.443593740463257,16.328125,0.797271728515625
encrypt,16,2048,10000,2,2.374340534210205,16.328125,0.797271728515625
encrypt,16,2048,10000,3,2.372481346130371,16.328125,0.797271728515625
encrypt,16,2048,10000,4,2.3684160709381104,16.328125,0.797271728515625
encrypt,16,2048,10000,5,2.374513626098633,16.328125,0.797271728515625
encrypt,16,2048,10000,6,2.373241662979126,16.328125,0.797271728515625
