benchmark,cpu_lim,mem_lim,data_size,run_no,cpu_util
image-process,80,2048,4.6M,1,1147.0180903779046
image-process,80,2048,4.6M,2,100.23983077475229
image-process,80,2048,4.6M,3,100.60471203886539
image-process,80,2048,4.6M,4,101.93989448861383
image-process,80,2048,4.6M,5,101.55756242290053
image-process,80,2048,4.6M,6,101.79580572062437
image-process,80,2048,4.6M,7,102.25111558032161
image-process,80,2048,4.6M,8,101.86983467766235
image-process,80,2048,4.6M,9,101.8932469035533
image-process,80,2048,4.6M,10,101.69859505738938
image-process,64,2048,756K,1,55.9321052454418
image-process,64,2048,756K,2,47.41532571784491
image-process,64,2048,756K,3,41.7450553674731
image-process,64,2048,756K,4,35.10056825011666
image-process,64,2048,756K,5,31.935367960199006
image-process,64,2048,756K,6,39.437312570506414
image-process,64,2048,756K,7,50.802107705466135
image-process,64,2048,756K,8,56.99070725138975
image-process,64,2048,756K,9,58.844833871590815
image-process,64,2048,756K,10,57.15046003887723
image-process,48,2048,928K,1,65.0665396060255
image-process,48,2048,928K,2,55.18784358199801
image-process,48,2048,928K,3,39.46125278254816
image-process,48,2048,928K,4,29.218739628344515
image-process,48,2048,928K,5,38.744694188772364
image-process,48,2048,928K,6,48.722170261150914
image-process,48,2048,928K,7,57.46979214497735
image-process,48,2048,928K,8,56.33823285592893
image-process,48,2048,928K,9,57.7983620688571
image-process,48,2048,928K,10,52.51125163994682
image-process,96,2048,1.2M,1,1020.7738877195179
image-process,96,2048,1.2M,2,42.647892527731884
image-process,96,2048,1.2M,3,42.782065118609566
image-process,96,2048,1.2M,4,42.575420190296455
image-process,96,2048,1.2M,5,43.93454744079207
image-process,96,2048,1.2M,6,44.148019763885586
image-process,96,2048,1.2M,7,43.857987838781334
image-process,96,2048,1.2M,8,35.97719819148092
image-process,96,2048,1.2M,9,24.378452249047015
image-process,96,2048,1.2M,10,41.18452944162437
image-process,16,2048,384K,1,7.9391908452535755
image-process,16,2048,384K,2,10.485417109126214
image-process,16,2048,384K,3,6.474446173832354
image-process,16,2048,384K,4,10.121319471916257
image-process,16,2048,384K,5,8.210388490495713
image-process,16,2048,384K,6,10.698151469449055
image-process,16,2048,384K,7,10.010071568582198
image-process,16,2048,384K,8,9.911842148072544
image-process,16,2048,384K,9,8.557867505504877
image-process,16,2048,384K,10,9.15652164247031
image-process,96,2048,184K,1,1053.654005902412
image-process,96,2048,184K,2,36.41007952418219
image-process,96,2048,184K,3,35.32730641088136
image-process,96,2048,184K,4,36.975004726810674
image-process,96,2048,184K,5,26.411891691333594
image-process,96,2048,184K,6,26.233257394751448
image-process,96,2048,184K,7,38.30172403780478
image-process,96,2048,184K,8,37.76368484848484
image-process,96,2048,184K,9,37.38978568417716
image-process,96,2048,184K,10,19.7295921481716
image-process,32,2048,80K,1,11.375020522594529
image-process,32,2048,80K,2,6.099248467471757
image-process,32,2048,80K,3,5.981829302006255
image-process,32,2048,80K,4,6.426604027096474
image-process,32,2048,80K,5,4.54596581755862
image-process,32,2048,80K,6,6.508771099707903
image-process,32,2048,80K,7,6.225886587565259
image-process,32,2048,80K,8,6.023982992763209
image-process,32,2048,80K,9,5.86352183201414
image-process,32,2048,80K,10,6.155350567847749
image-process,32,2048,608K,1,550.297741913668
image-process,32,2048,608K,2,35.01319635855212
image-process,32,2048,608K,3,17.723719355638163
image-process,32,2048,608K,4,34.60461892536848
image-process,32,2048,608K,5,33.91601192955233
image-process,32,2048,608K,6,29.11326968696993
image-process,32,2048,608K,7,33.97174885326757
image-process,32,2048,608K,8,33.76389742459042
image-process,32,2048,608K,9,17.80947917961467
image-process,32,2048,608K,10,34.70604864321608
image-process,96,2048,384K,1,1250.322741712318
image-process,96,2048,384K,2,10.043637966315126
image-process,96,2048,384K,3,9.787078809579898
image-process,96,2048,384K,4,10.296574791027155
image-process,96,2048,384K,5,5.262044461367603
image-process,96,2048,384K,6,10.522872102515425
image-process,96,2048,384K,7,10.387082845399936
image-process,96,2048,384K,8,10.162732785301339
image-process,96,2048,384K,9,9.757091648142268
image-process,96,2048,384K,10,9.734630562153603
image-process,16,2048,80K,1,586.7000960451446
image-process,16,2048,80K,2,6.114711173193125
image-process,16,2048,80K,3,6.3855225474509805
image-process,16,2048,80K,4,6.477514905335628
image-process,16,2048,80K,5,6.2311508023421425
image-process,16,2048,80K,6,6.497039726962457
image-process,16,2048,80K,7,6.135367559854131
image-process,16,2048,80K,8,5.865096122448979
image-process,16,2048,80K,9,6.2005630444109
image-process,16,2048,80K,10,6.225371921369689
image-process,80,2048,2.4M,1,1044.762933450329
image-process,80,2048,2.4M,2,54.328733666483906
image-process,80,2048,2.4M,3,69.83737754753892
image-process,80,2048,2.4M,4,70.64572700149337
image-process,80,2048,2.4M,5,65.21261519634128
image-process,80,2048,2.4M,6,49.89332876190476
image-process,80,2048,2.4M,7,41.367912621143624
image-process,80,2048,2.4M,8,51.87640694017366
image-process,80,2048,2.4M,9,68.19585187628866
image-process,80,2048,2.4M,10,77.36153785595437
image-process,64,2048,440K,1,13.823495474452555
image-process,64,2048,440K,2,29.47519400387147
image-process,64,2048,440K,3,27.074533897354257
image-process,64,2048,440K,4,16.76684164168563
image-process,64,2048,440K,5,28.85259603821953
image-process,64,2048,440K,6,29.617006496577474
image-process,64,2048,440K,7,29.748435122711335
image-process,64,2048,440K,8,28.560838298847063
image-process,64,2048,440K,9,28.427098637200736
image-process,64,2048,440K,10,28.597790215631385
image-process,48,2048,384K,1,10.51386528984387
image-process,48,2048,384K,2,10.26828540106539
image-process,48,2048,384K,3,7.760894868947401
