benchmark,cpu_lim,mem_lim,data_size,run_no,exec_time,mem_usage,mem_util
image-process,48,2048,2.4M,1,0.7081170082092285,127.3125,6.2164306640625
image-process,48,2048,2.4M,2,0.6918749809265137,127.3125,6.2164306640625
image-process,48,2048,2.4M,3,0.6770210266113281,127.3125,6.2164306640625
image-process,48,2048,2.4M,4,0.6954441070556641,127.3125,6.2164306640625
image-process,48,2048,2.4M,5,0.6961209774017334,127.3125,6.2164306640625
image-process,48,2048,2.4M,6,0.6906530857086182,127.3125,6.2164306640625
image-process,48,2048,2.4M,7,0.6971747875213623,127.3125,6.2164306640625
image-process,48,2048,2.4M,8,0.6957168579101562,127.3125,6.2164306640625
image-process,48,2048,2.4M,9,0.7195584774017334,127.35546875,6.218528747558594
image-process,48,2048,2.4M,10,0.7276225090026855,127.35546875,6.218528747558594
image-process,48,2048,608K,1,0.33284735679626465,85.15625,4.15802001953125
image-process,48,2048,608K,2,0.3237442970275879,85.15625,4.15802001953125
image-process,48,2048,608K,3,0.32275867462158203,85.15625,4.15802001953125
image-process,48,2048,608K,4,0.32989072799682617,85.15625,4.15802001953125
image-process,48,2048,608K,5,0.3321051597595215,85.15625,4.15802001953125
image-process,48,2048,608K,6,0.3335394859313965,85.15625,4.15802001953125
image-process,48,2048,608K,7,0.33722782135009766,85.15625,4.15802001953125
image-process,48,2048,608K,8,0.3322868347167969,85.15625,4.15802001953125
image-process,48,2048,608K,9,0.3310070037841797,85.15625,4.15802001953125
image-process,48,2048,608K,10,0.33888769149780273,85.15625,4.15802001953125
image-process,64,2048,4.6M,1,2.1579339504241943,275.45703125,13.450050354003906
image-process,64,2048,4.6M,2,1.98687744140625,275.45703125,13.450050354003906
image-process,64,2048,4.6M,3,1.9961817264556885,275.45703125,13.450050354003906
image-process,64,2048,4.6M,4,2.0777010917663574,275.45703125,13.450050354003906
image-process,64,2048,4.6M,5,2.0640218257904053,275.45703125,13.450050354003906
image-process,64,2048,4.6M,6,2.0450022220611572,275.45703125,13.450050354003906
image-process,64,2048,4.6M,7,2.0384438037872314,275.45703125,13.450050354003906
image-process,64,2048,4.6M,8,2.075186252593994,275.45703125,13.450050354003906
image-process,64,2048,4.6M,9,2.0541062355041504,275.45703125,13.450050354003906
image-process,64,2048,4.6M,10,2.037945508956909,275.45703125,13.450050354003906
image-process,80,2048,12K,1,0.006796360015869141,48.83984375,2.3847579956054688
image-process,80,2048,12K,2,0.011127233505249023,48.83984375,2.3847579956054688
image-process,80,2048,12K,3,0.010674715042114258,48.83984375,2.3847579956054688
image-process,80,2048,12K,4,0.009832382202148438,48.83984375,2.3847579956054688
image-process,80,2048,12K,5,0.010113954544067383,48.83984375,2.3847579956054688
image-process,80,2048,12K,6,0.010462284088134766,48.83984375,2.3847579956054688
image-process,80,2048,12K,7,0.010281562805175781,48.83984375,2.3847579956054688
image-process,80,2048,12K,8,0.011099815368652344,48.83984375,2.3847579956054688
image-process,80,2048,12K,9,0.010223627090454102,48.83984375,2.3847579956054688
image-process,80,2048,12K,10,0.009073734283447266,48.83984375,2.3847579956054688
image-process,96,2048,2.4M,1,0.7313282489776611,128.12109375,6.255912780761719
image-process,96,2048,2.4M,2,0.6749989986419678,128.12109375,6.255912780761719
image-process,96,2048,2.4M,3,0.6862919330596924,128.12109375,6.255912780761719
image-process,96,2048,2.4M,4,0.6897501945495605,128.12109375,6.255912780761719
image-process,96,2048,2.4M,5,0.7408497333526611,128.12109375,6.255912780761719
image-process,96,2048,2.4M,6,0.693976879119873,128.12109375,6.255912780761719
image-process,96,2048,2.4M,7,0.6915428638458252,128.12109375,6.255912780761719
image-process,96,2048,2.4M,8,0.69415283203125,128.12109375,6.255912780761719
image-process,96,2048,2.4M,9,0.7359523773193359,128.12109375,6.255912780761719
image-process,96,2048,2.4M,10,0.7124648094177246,128.12109375,6.255912780761719
