benchmark,cpu_lim,mem_lim,data_size,run_no,exec_time,mem_usage,mem_util,cpu_util
image-process,48,2048,2.4M,1,0.7081170082092285,127.3125,6.2164306640625,53.00457885436744
image-process,48,2048,2.4M,2,0.6918749809265137,127.3125,6.2164306640625,60.27434087734176
image-process,48,2048,2.4M,3,0.6770210266113281,127.3125,6.2164306640625,68.23691691401102
image-process,48,2048,2.4M,4,0.6954441070556641,127.3125,6.2164306640625,70.8139898920556
image-process,48,2048,2.4M,5,0.6961209774017334,127.3125,6.2164306640625,71.1838432348367
image-process,48,2048,2.4M,6,0.6906530857086182,127.3125,6.2164306640625,70.86990643256436
image-process,48,2048,2.4M,7,0.6971747875213623,127.3125,6.2164306640625,72.16995441023212
image-process,48,2048,2.4M,8,0.6957168579101562,127.3125,6.2164306640625,71.28603785658491
image-process,48,2048,2.4M,9,0.7195584774017334,127.35546875,6.218528747558594,74.42929289446681
image-process,48,2048,2.4M,10,0.7276225090026855,127.35546875,6.218528747558594,74.95604058323588
image-process,48,2048,608K,1,0.3328473567962646,85.15625,4.15802001953125,30.43404113952238
image-process,48,2048,608K,2,0.3237442970275879,85.15625,4.15802001953125,30.542933267296085
image-process,48,2048,608K,3,0.322758674621582,85.15625,4.15802001953125,32.70629820414428
image-process,48,2048,608K,4,0.3298907279968261,85.15625,4.15802001953125,34.099141976518155
image-process,48,2048,608K,5,0.3321051597595215,85.15625,4.15802001953125,34.18037344228805
image-process,48,2048,608K,6,0.3335394859313965,85.15625,4.15802001953125,34.12729114018113
image-process,48,2048,608K,7,0.3372278213500976,85.15625,4.15802001953125,24.758517173287725
image-process,48,2048,608K,8,0.3322868347167969,85.15625,4.15802001953125,33.95822701359224
image-process,48,2048,608K,9,0.3310070037841797,85.15625,4.15802001953125,20.849081674043017
image-process,48,2048,608K,10,0.3388876914978027,85.15625,4.15802001953125,34.36926307668378
image-process,64,2048,4.6M,1,2.1579339504241943,275.45703125,13.450050354003906,1080.7429559818495
image-process,64,2048,4.6M,2,1.98687744140625,275.45703125,13.450050354003906,100.62946273361008
image-process,64,2048,4.6M,3,1.9961817264556885,275.45703125,13.450050354003906,101.17355666850526
image-process,64,2048,4.6M,4,2.0777010917663574,275.45703125,13.450050354003906,101.83669193816884
image-process,64,2048,4.6M,5,2.0640218257904053,275.45703125,13.450050354003906,101.65788247367172
image-process,64,2048,4.6M,6,2.045002222061157,275.45703125,13.450050354003906,101.40076884697676
image-process,64,2048,4.6M,7,2.0384438037872314,275.45703125,13.450050354003906,101.68538090592334
image-process,64,2048,4.6M,8,2.075186252593994,275.45703125,13.450050354003906,101.39644247226624
image-process,64,2048,4.6M,9,2.0541062355041504,275.45703125,13.450050354003906,101.24301105871184
image-process,64,2048,4.6M,10,2.037945508956909,275.45703125,13.450050354003906,101.89025748592276
image-process,80,2048,12K,1,0.0067963600158691,48.83984375,2.3847579956054688,817.8898665537521
image-process,80,2048,12K,2,0.011127233505249,48.83984375,2.3847579956054688,2.0675831067199875
image-process,80,2048,12K,3,0.0106747150421142,48.83984375,2.3847579956054688,1.993379234149404
