benchmark,cpu_lim,mem_lim,data_size,run_no,cpu_util
linpack,32,2048,2000,1,3372.7261385873376
linpack,32,2048,2000,2,3390.943374735035
linpack,32,2048,2000,3,3343.831777447753
linpack,32,2048,2000,4,3334.97752074801
linpack,32,2048,2000,5,3289.8341212087744
linpack,32,2048,2000,6,3322.584552227429
linpack,32,2048,2000,7,3342.4834012095425
linpack,32,2048,2000,8,3327.8590209736244
linpack,32,2048,2000,9,3296.2464582704024
linpack,32,2048,2000,10,3356.672218899385
linpack,80,2048,4000,1,6316.532637751786
linpack,80,2048,4000,2,6359.6932345229
linpack,80,2048,4000,3,6392.886635620644
linpack,80,2048,4000,4,6322.125353654374
linpack,80,2048,4000,5,6386.78540959361
linpack,80,2048,4000,6,6290.029390506399
linpack,80,2048,4000,7,6310.758422531685
linpack,80,2048,4000,8,6368.276336466509
linpack,80,2048,4000,9,6283.337814069311
linpack,80,2048,4000,10,6378.110974696946
linpack,80,2048,8000,1,6315.789703404959
linpack,80,2048,8000,2,6368.784881907151
linpack,80,2048,8000,3,6178.2780956482275
linpack,80,2048,8000,4,6363.716750479458
linpack,80,2048,8000,5,6273.307162230739
linpack,80,2048,8000,6,6363.786455475369
linpack,80,2048,8000,7,6388.040959000078
linpack,80,2048,8000,8,6374.394590919442
linpack,80,2048,8000,9,6283.390581018228
linpack,80,2048,8000,10,6383.81111088988
linpack,48,2048,8000,1,4963.177116075328
linpack,48,2048,8000,2,4922.032315284104
linpack,48,2048,8000,3,4937.130222889879
linpack,48,2048,8000,4,4917.768179752459
linpack,48,2048,8000,5,4888.881369826334
linpack,48,2048,8000,6,4880.875443458504
linpack,48,2048,8000,7,4922.102776121203
linpack,48,2048,8000,8,4890.403317857593
linpack,48,2048,8000,9,4884.276765670013
linpack,48,2048,8000,10,4879.6522672422825
linpack,16,2048,5000,1,1703.6359682334169
linpack,16,2048,5000,2,1720.3982900804538
linpack,16,2048,5000,3,1717.8353962340968
linpack,16,2048,5000,4,1731.4651171722762
linpack,16,2048,5000,5,1702.6061185674243
linpack,16,2048,5000,6,1709.6913907585058
linpack,16,2048,5000,7,1705.0624737995304
linpack,16,2048,5000,8,1701.8932303847894
linpack,16,2048,5000,9,1709.8429183590838
linpack,16,2048,5000,10,1714.4132710914769
linpack,80,2048,1000,1,5472.2333463017985
linpack,80,2048,1000,2,5408.714171100839
linpack,80,2048,1000,3,6157.421982173948
linpack,80,2048,1000,4,6381.007590430082
linpack,80,2048,1000,5,5832.122037521461
linpack,80,2048,1000,6,6356.012383437281
linpack,80,2048,1000,7,6347.303374096254
linpack,80,2048,1000,8,6345.095342583672
linpack,80,2048,1000,9,6179.57146122244
linpack,80,2048,1000,10,5846.93185618785
linpack,32,2048,4000,1,3387.3767251306413
linpack,32,2048,4000,2,3334.4145073958985
linpack,32,2048,4000,3,3364.4908788672565
linpack,32,2048,4000,4,3363.9082110044747
linpack,32,2048,4000,5,3460.522649698084
linpack,32,2048,4000,6,3341.9511218604653
linpack,32,2048,4000,7,3332.881292495632
linpack,32,2048,4000,8,3334.9230434866827
linpack,32,2048,4000,9,3335.8815999999997
linpack,32,2048,4000,10,3338.9793731879527
linpack,32,2048,3000,1,3339.748715988494
linpack,32,2048,3000,2,3366.9686393628426
linpack,32,2048,3000,3,3339.137908009828
linpack,32,2048,3000,4,3379.941392002407
linpack,32,2048,3000,5,3365.872208232536
linpack,32,2048,3000,6,3357.63897442257
linpack,32,2048,3000,7,3294.5826073197777
linpack,32,2048,3000,8,3361.276413786408
linpack,32,2048,3000,9,3333.4505108717713
linpack,32,2048,3000,10,3414.762039673407
linpack,96,2048,6000,1,5974.451706125507
linpack,96,2048,6000,2,6372.467130147345
linpack,96,2048,6000,3,6376.6674742785835
linpack,96,2048,6000,4,6382.9815206626035
linpack,96,2048,6000,5,6382.578834556656
linpack,96,2048,6000,6,6379.992727603899
linpack,96,2048,6000,7,6297.373280947336
linpack,96,2048,6000,8,6304.251669071106
linpack,96,2048,6000,9,6370.342974398628
linpack,96,2048,6000,10,6313.223846192009
linpack,80,2048,2000,1,5732.373605673759
