benchmark,cpu_lim,mem_lim,data_size,run_no,cpu_util
matmult,64,2048,2000,1,774.0208997172095
matmult,64,2048,2000,2,549.8776529432816
matmult,64,2048,2000,3,773.930924904251
matmult,64,2048,2000,4,933.9519628295616
matmult,64,2048,2000,5,974.6889415871008
matmult,64,2048,2000,6,790.8052585108567
matmult,64,2048,2000,7,799.8220993647525
matmult,64,2048,2000,8,993.6463324514853
matmult,64,2048,2000,9,957.0834476425946
matmult,64,2048,2000,10,1122.9555748384562
matmult,96,2048,5000,1,1900.76843750038
matmult,96,2048,5000,2,2401.9876835477
matmult,96,2048,5000,3,3136.229167337278
matmult,96,2048,5000,4,4538.838605041699
matmult,96,2048,5000,5,2705.810530387911
matmult,96,2048,5000,6,4263.211732495681
matmult,96,2048,5000,7,4323.40578619307
matmult,96,2048,5000,8,4099.4289876313305
matmult,96,2048,5000,9,3263.866105502128
matmult,96,2048,5000,10,2752.4589764687353
matmult,64,2048,5000,1,1365.940728983289
matmult,64,2048,5000,2,2477.6629246680204
matmult,64,2048,5000,3,3087.8091700797745
matmult,64,2048,5000,4,4053.292504033415
matmult,64,2048,5000,5,2493.5109850542926
matmult,64,2048,5000,6,4351.099563586379
matmult,64,2048,5000,7,4527.719767844127
matmult,64,2048,5000,8,2316.0409564898537
matmult,64,2048,5000,9,4178.700691263606
matmult,64,2048,5000,10,4085.1298947388264
matmult,48,2048,8000,1,4859.967243027009
matmult,48,2048,8000,2,4420.584844221105
matmult,48,2048,8000,3,4912.23313853882
matmult,48,2048,8000,4,3344.750278280374
matmult,48,2048,8000,5,4581.953532258416
matmult,48,2048,8000,6,4839.587792577645
matmult,48,2048,8000,7,4874.800509700599
matmult,48,2048,8000,8,4765.561491963118
matmult,48,2048,8000,9,4835.09037851198
matmult,48,2048,8000,10,3808.4341954658535
matmult,80,2048,6000,1,3796.6528173474344
matmult,80,2048,6000,2,4075.7819054133206
matmult,80,2048,6000,3,4248.952147900009
matmult,80,2048,6000,4,6059.18409217364
matmult,80,2048,6000,5,3447.9279616522695
matmult,80,2048,6000,6,4750.467912900001
matmult,80,2048,6000,7,3838.916691185908
matmult,80,2048,6000,8,4658.387823135373
matmult,80,2048,6000,9,4673.878263858657
matmult,80,2048,6000,10,4097.768262093078
matmult,64,2048,6000,1,3669.826867540266
