benchmark,cpu_lim,mem_lim,data_size,run_no,exec_time,mem_usage,mem_util
matmult,48,2048,4000,1,0.8146722316741943,411.2265625,20.079421997070312
matmult,48,2048,4000,2,0.7109951972961426,411.2265625,20.079421997070312
matmult,48,2048,4000,3,0.5890247821807861,411.3046875,20.083236694335938
matmult,48,2048,4000,4,0.5384275913238525,413.0546875,20.168685913085938
matmult,48,2048,4000,5,0.43413829803466797,413.0546875,20.168685913085938
matmult,48,2048,4000,6,0.6273863315582275,413.0546875,20.168685913085938
matmult,48,2048,4000,7,0.6159303188323975,413.109375,20.171356201171875
matmult,48,2048,4000,8,0.47207212448120117,413.109375,20.171356201171875
matmult,48,2048,4000,9,0.5322151184082031,413.109375,20.171356201171875
matmult,48,2048,4000,10,0.56121826171875,413.109375,20.171356201171875
matmult,64,2048,8000,1,1.3326416015625,1525.9375,74.5086669921875
matmult,64,2048,8000,2,2.822096586227417,1525.9375,74.5086669921875
matmult,64,2048,8000,3,2.554530143737793,1525.9375,74.5086669921875
matmult,64,2048,8000,4,3.4653542041778564,1526.265625,74.52468872070312
matmult,64,2048,8000,5,2.840132236480713,1526.265625,74.52468872070312
matmult,64,2048,8000,6,1.3057332038879395,1526.265625,74.52468872070312
matmult,64,2048,8000,7,1.493457555770874,1526.265625,74.52468872070312
matmult,64,2048,8000,8,2.1861889362335205,1526.265625,74.52468872070312
matmult,64,2048,8000,9,1.7102241516113281,1526.625,74.542236328125
matmult,64,2048,8000,10,2.043470859527588,1526.625,74.542236328125
matmult,48,2048,1000,1,0.026218891143798828,56.890625,2.777862548828125
matmult,48,2048,1000,2,0.02113795280456543,56.890625,2.777862548828125
matmult,48,2048,1000,3,0.020258188247680664,56.890625,2.777862548828125
matmult,48,2048,1000,4,0.022237539291381836,56.890625,2.777862548828125
matmult,48,2048,1000,5,0.03515625,56.890625,2.777862548828125
matmult,48,2048,1000,6,0.015484094619750977,56.890625,2.777862548828125
matmult,48,2048,1000,7,0.021472454071044922,56.96484375,2.7814865112304688
matmult,48,2048,1000,8,0.029601573944091797,57.1484375,2.7904510498046875
matmult,48,2048,1000,9,0.013584613800048828,57.23828125,2.7948379516601562
matmult,48,2048,1000,10,0.020146608352661133,57.40234375,2.8028488159179688
matmult,32,2048,6000,1,1.7000658512115479,876.453125,42.795562744140625
matmult,32,2048,6000,2,1.4973363876342773,876.5234375,42.79899597167969
matmult,32,2048,6000,3,1.5500333309173584,876.90625,42.81768798828125
matmult,32,2048,6000,4,1.695322036743164,878.3671875,42.88902282714844
matmult,32,2048,6000,5,1.512505292892456,878.3671875,42.88902282714844
matmult,32,2048,6000,6,1.6007695198059082,878.3671875,42.88902282714844
matmult,32,2048,6000,7,1.4619760513305664,878.3671875,42.88902282714844
matmult,32,2048,6000,8,1.655686855316162,878.3671875,42.88902282714844
matmult,32,2048,6000,9,1.6156070232391357,878.3671875,42.88902282714844
matmult,32,2048,6000,10,1.7562148571014404,878.3671875,42.88902282714844
matmult,64,2048,7000,1,1.9343132972717285,1178.7578125,57.55653381347656
matmult,64,2048,7000,2,2.4482829570770264,1178.7578125,57.55653381347656
matmult,64,2048,7000,3,2.029672145843506,1178.7578125,57.55653381347656
matmult,64,2048,7000,4,1.8599622249603271,1179.0,57.568359375
matmult,64,2048,7000,5,2.1499364376068115,1179.0,57.568359375
matmult,64,2048,7000,6,1.003990888595581,1179.4453125,57.59010314941406
matmult,64,2048,7000,7,1.0272979736328125,1179.4453125,57.59010314941406
matmult,64,2048,7000,8,1.2883310317993164,1179.4453125,57.59010314941406
matmult,64,2048,7000,9,1.6759848594665527,1179.4453125,57.59010314941406
matmult,64,2048,7000,10,0.9111053943634033,1179.4453125,57.59010314941406
matmult,32,2048,3000,1,0.46457791328430176,245.61328125,11.992835998535156
matmult,32,2048,3000,2,0.5047972202301025,245.61328125,11.992835998535156
matmult,32,2048,3000,3,0.39850807189941406,246.3203125,12.027359008789062
matmult,32,2048,3000,4,0.5102167129516602,246.5078125,12.036514282226562
matmult,32,2048,3000,5,0.3914148807525635,246.88671875,12.055015563964844
matmult,32,2048,3000,6,0.387315034866333,247.1953125,12.070083618164062
matmult,32,2048,3000,7,0.38474345207214355,247.35546875,12.077903747558594
matmult,32,2048,3000,8,0.42505359649658203,247.35546875,12.077903747558594
matmult,32,2048,3000,9,0.42548108100891113,247.95703125,12.107276916503906
matmult,32,2048,3000,10,0.42510223388671875,247.95703125,12.107276916503906
matmult,16,2048,5000,1,1.848876953125,621.45703125,30.344581604003906
matmult,16,2048,5000,2,1.6577222347259521,621.45703125,30.344581604003906
matmult,16,2048,5000,3,1.5272045135498047,621.45703125,30.344581604003906
matmult,16,2048,5000,4,1.8609037399291992,621.60546875,30.351829528808594
matmult,16,2048,5000,5,1.6164476871490479,621.7578125,30.359268188476562
matmult,16,2048,5000,6,1.7424566745758057,621.7578125,30.359268188476562
matmult,16,2048,5000,7,1.7742063999176025,622.51171875,30.396080017089844
matmult,16,2048,5000,8,1.7072014808654785,622.51171875,30.396080017089844
matmult,16,2048,5000,9,1.7979614734649658,622.51171875,30.396080017089844
matmult,16,2048,5000,10,1.8119251728057861,622.65625,30.40313720703125
matmult,48,2048,8000,1,2.4990122318267822,1524.65234375,74.44591522216797
matmult,48,2048,8000,2,2.7807979583740234,1526.06640625,74.51496124267578
matmult,48,2048,8000,3,2.435124158859253,1526.06640625,74.51496124267578
matmult,48,2048,8000,4,3.4570205211639404,1526.06640625,74.51496124267578
matmult,48,2048,8000,5,2.986787796020508,1526.06640625,74.51496124267578
matmult,48,2048,8000,6,1.6686041355133057,1526.06640625,74.51496124267578
matmult,48,2048,8000,7,2.198971748352051,1526.375,74.530029296875
matmult,48,2048,8000,8,2.3892734050750732,1526.375,74.530029296875
matmult,48,2048,8000,9,1.7434842586517334,1526.5234375,74.53727722167969
matmult,48,2048,8000,10,3.417428970336914,1526.5234375,74.53727722167969
matmult,80,2048,6000,1,1.4076080322265625,875.43359375,42.74578094482422
matmult,80,2048,6000,2,1.5945770740509033,876.2890625,42.78755187988281
matmult,80,2048,6000,3,1.2310476303100586,878.03125,42.87261962890625
matmult,80,2048,6000,4,1.0591044425964355,878.03125,42.87261962890625
matmult,80,2048,6000,5,1.4035887718200684,878.03125,42.87261962890625
matmult,80,2048,6000,6,1.5323097705841064,878.03125,42.87261962890625
matmult,80,2048,6000,7,0.7633709907531738,878.03125,42.87261962890625
matmult,80,2048,6000,8,0.8657863140106201,878.03125,42.87261962890625
matmult,80,2048,6000,9,1.4654748439788818,878.03125,42.87261962890625
matmult,80,2048,6000,10,0.8775322437286377,878.03125,42.87261962890625
matmult,16,2048,4000,1,1.1024982929229736,412.6328125,20.148086547851562
matmult,16,2048,4000,2,1.0725822448730469,412.6328125,20.148086547851562
matmult,16,2048,4000,3,0.926116943359375,412.6328125,20.148086547851562
matmult,16,2048,4000,4,0.9669625759124756,412.6328125,20.148086547851562
matmult,16,2048,4000,5,0.9054515361785889,412.6328125,20.148086547851562
matmult,16,2048,4000,6,0.9946489334106445,412.6328125,20.148086547851562
matmult,16,2048,4000,7,0.7633926868438721,412.6328125,20.148086547851562
matmult,16,2048,4000,8,1.203563928604126,412.6328125,20.148086547851562
matmult,16,2048,4000,9,0.9267895221710205,412.6328125,20.148086547851562
matmult,16,2048,4000,10,0.9904012680053711,412.6328125,20.148086547851562
matmult,16,2048,6000,1,2.9032034873962402,875.6015625,42.75398254394531
matmult,16,2048,6000,2,2.6492371559143066,875.74609375,42.76103973388672
matmult,16,2048,6000,3,2.5809760093688965,876.37109375,42.79155731201172
matmult,16,2048,6000,4,2.4796290397644043,876.37109375,42.79155731201172
matmult,16,2048,6000,5,2.4646902084350586,877.08984375,42.82665252685547
matmult,16,2048,6000,6,3.142308235168457,877.08984375,42.82665252685547
matmult,16,2048,6000,7,2.6995975971221924,877.08984375,42.82665252685547
matmult,16,2048,6000,8,2.7420554161071777,877.08984375,42.82665252685547
matmult,16,2048,6000,9,2.9381635189056396,877.08984375,42.82665252685547
matmult,16,2048,6000,10,2.4216530323028564,877.08984375,42.82665252685547
matmult,32,2048,1000,1,0.0516512393951416,55.3828125,2.7042388916015625
matmult,32,2048,1000,2,0.02883291244506836,55.3828125,2.7042388916015625
matmult,32,2048,1000,3,0.03147292137145996,55.3828125,2.7042388916015625
matmult,32,2048,1000,4,0.0368192195892334,55.5234375,2.7111053466796875
matmult,32,2048,1000,5,0.04938912391662598,55.5234375,2.7111053466796875
matmult,32,2048,1000,6,0.03042888641357422,55.5234375,2.7111053466796875
matmult,32,2048,1000,7,0.018534421920776367,55.8125,2.7252197265625
matmult,32,2048,1000,8,0.014417171478271484,56.0859375,2.7385711669921875
matmult,32,2048,1000,9,0.016947031021118164,56.27734375,2.7479171752929688
matmult,32,2048,1000,10,0.021228790283203125,56.27734375,2.7479171752929688
matmult,32,2048,500,1,0.03135561943054199,36.0,1.7578125
matmult,32,2048,500,2,0.019197940826416016,36.0,1.7578125
matmult,32,2048,500,3,0.016799211502075195,36.0,1.7578125
matmult,32,2048,500,4,0.004748106002807617,36.0,1.7578125
matmult,32,2048,500,5,0.005725383758544922,36.0,1.7578125
matmult,32,2048,500,6,0.0076885223388671875,36.0,1.7578125
matmult,32,2048,500,7,0.00990605354309082,36.0,1.7578125
matmult,32,2048,500,8,0.006088733673095703,36.0,1.7578125
matmult,32,2048,500,9,0.006845235824584961,36.0,1.7578125
matmult,32,2048,500,10,0.008172988891601562,36.0,1.7578125
matmult,96,2048,5000,1,1.4304590225219727,618.73828125,30.211830139160156
matmult,96,2048,5000,2,0.9906201362609863,618.73828125,30.211830139160156
matmult,96,2048,5000,3,1.1693663597106934,620.47265625,30.29651641845703
matmult,96,2048,5000,4,0.7077271938323975,621.40625,30.34210205078125
matmult,96,2048,5000,5,1.2208878993988037,622.04296875,30.373191833496094
matmult,96,2048,5000,6,1.0333232879638672,622.04296875,30.373191833496094
matmult,96,2048,5000,7,0.9375202655792236,622.8125,30.4107666015625
matmult,96,2048,5000,8,0.5287361145019531,622.8125,30.4107666015625
matmult,96,2048,5000,9,0.6685388088226318,622.8125,30.4107666015625
matmult,96,2048,5000,10,1.0299663543701172,622.8125,30.4107666015625
matmult,48,2048,3000,1,0.6250150203704834,245.34765625,11.979866027832031
matmult,48,2048,3000,2,0.7064337730407715,245.34765625,11.979866027832031
matmult,48,2048,3000,3,0.46900486946105957,245.50390625,11.987495422363281
matmult,48,2048,3000,4,0.41977858543395996,246.546875,12.038421630859375
matmult,48,2048,3000,5,0.31479334831237793,248.3671875,12.127304077148438
matmult,48,2048,3000,6,0.26435351371765137,248.3671875,12.127304077148438
matmult,48,2048,3000,7,0.39306068420410156,248.9765625,12.157058715820312
matmult,48,2048,3000,8,0.34664463996887207,248.9765625,12.157058715820312
matmult,48,2048,3000,9,0.27666425704956055,248.9765625,12.157058715820312
matmult,48,2048,3000,10,0.28792238235473633,248.9765625,12.157058715820312
matmult,64,2048,6000,1,1.743424415588379,873.734375,42.662811279296875
matmult,64,2048,6000,2,1.562575101852417,876.96875,42.82073974609375
matmult,64,2048,6000,3,1.1864843368530273,876.96875,42.82073974609375
matmult,64,2048,6000,4,0.8928194046020508,876.96875,42.82073974609375
matmult,64,2048,6000,5,1.7282629013061523,876.96875,42.82073974609375
matmult,64,2048,6000,6,1.507322072982788,878.00390625,42.87128448486328
matmult,64,2048,6000,7,0.7435963153839111,878.00390625,42.87128448486328
matmult,64,2048,6000,8,0.8502354621887207,878.00390625,42.87128448486328
matmult,64,2048,6000,9,1.1490004062652588,878.00390625,42.87128448486328
matmult,64,2048,6000,10,0.9642484188079834,878.00390625,42.87128448486328
matmult,64,2048,500,1,0.011495113372802734,35.59375,1.73797607421875
matmult,64,2048,500,2,0.00951838493347168,35.59375,1.73797607421875
matmult,64,2048,500,3,0.006457090377807617,35.59375,1.73797607421875
matmult,64,2048,500,4,0.006627321243286133,35.59375,1.73797607421875
matmult,64,2048,500,5,0.011104822158813477,35.59375,1.73797607421875
matmult,64,2048,500,6,0.007578849792480469,35.59375,1.73797607421875
matmult,64,2048,500,7,0.010260343551635742,35.59375,1.73797607421875
matmult,64,2048,500,8,0.016240835189819336,35.59375,1.73797607421875
matmult,64,2048,500,9,0.010998725891113281,35.59375,1.73797607421875
matmult,64,2048,500,10,0.009464502334594727,35.59375,1.73797607421875
matmult,80,2048,4000,1,1.1911983489990234,409.56640625,19.99835968017578
matmult,80,2048,4000,2,0.6691207885742188,409.56640625,19.99835968017578
matmult,80,2048,4000,3,0.6946117877960205,412.12890625,20.12348175048828
matmult,80,2048,4000,4,0.49327826499938965,412.3984375,20.136642456054688
matmult,80,2048,4000,5,0.5144119262695312,412.671875,20.149993896484375
matmult,80,2048,4000,6,0.6630351543426514,412.8125,20.1568603515625
matmult,80,2048,4000,7,0.6873092651367188,412.85546875,20.158958435058594
matmult,80,2048,4000,8,0.33130574226379395,412.85546875,20.158958435058594
matmult,80,2048,4000,9,0.3982985019683838,412.85546875,20.158958435058594
matmult,80,2048,4000,10,0.5435497760772705,412.85546875,20.158958435058594
matmult,80,2048,500,1,0.012965917587280273,36.85546875,1.7995834350585938
matmult,80,2048,500,2,0.0034554004669189453,36.85546875,1.7995834350585938
