benchmark,cpu_lim,mem_lim,data_size,exec_time,mem_usage,mem_util
matmult,48,2048,4000,0.35493207,411.421875,20.08895874
matmult,48,2048,4000,0.465978384,411.9023438,20.11241913
matmult,48,2048,4000,0.40709877,412.0976563,20.12195587
matmult,48,2048,4000,0.346503496,412.0976563,20.12195587
matmult,48,2048,4000,0.361022472,412.0976563,20.12195587
matmult,48,2048,4000,0.436652899,412.6601563,20.14942169
matmult,48,2048,4000,0.425305843,412.6601563,20.14942169
matmult,48,2048,4000,0.447695017,412.6601563,20.14942169
matmult,48,2048,4000,0.625859499,412.6601563,20.14942169
matmult,48,2048,4000,0.819614649,412.6601563,20.14942169
matmult,64,2048,8000,1.53707695,1524.253906,74.42646027
matmult,64,2048,8000,1.753981352,1525.847656,74.50428009
matmult,64,2048,8000,1.778364897,1525.847656,74.50428009
matmult,64,2048,8000,1.876838446,1526.484375,74.53536987
matmult,64,2048,8000,2.36997509,1526.484375,74.53536987
matmult,64,2048,8000,3.015497923,1526.484375,74.53536987
matmult,64,2048,8000,2.946464062,1526.484375,74.53536987
matmult,64,2048,8000,4.434212208,1526.484375,74.53536987
matmult,64,2048,8000,2.91743803,1526.484375,74.53536987
matmult,64,2048,8000,2.643571138,1527.003906,74.56073761
matmult,48,2048,1000,0.050828218,57.1640625,2.791213989
matmult,48,2048,1000,0.027190685,57.1640625,2.791213989
matmult,48,2048,1000,0.014628172,57.1640625,2.791213989
matmult,48,2048,1000,0.024122,57.1640625,2.791213989
matmult,48,2048,1000,0.015164852,57.1640625,2.791213989
matmult,48,2048,1000,0.011933327,57.1640625,2.791213989
matmult,48,2048,1000,0.013181448,57.1640625,2.791213989
matmult,48,2048,1000,0.03025794,57.1640625,2.791213989
matmult,48,2048,1000,0.014077663,57.1640625,2.791213989
matmult,48,2048,1000,0.023388863,57.1640625,2.791213989
matmult,32,2048,6000,1.257918119,876.0664063,42.77667999
matmult,32,2048,6000,1.143844604,877.0351563,42.82398224
matmult,32,2048,6000,1.417357922,877.0351563,42.82398224
matmult,32,2048,6000,1.899306297,877.3710938,42.84038544
matmult,32,2048,6000,2.242329597,877.3710938,42.84038544
matmult,32,2048,6000,2.358911753,878.0898438,42.87548065
matmult,32,2048,6000,1.65302825,878.0898438,42.87548065
matmult,32,2048,6000,1.388646603,878.0898438,42.87548065
matmult,32,2048,6000,1.243036747,878.7460938,42.90752411
matmult,32,2048,6000,1.444752455,878.7460938,42.90752411
matmult,64,2048,7000,1.305442333,1177.53125,57.49664307
matmult,64,2048,7000,1.264171124,1177.53125,57.49664307
matmult,64,2048,7000,1.567927361,1177.53125,57.49664307
matmult,64,2048,7000,1.581673622,1178.4375,57.54089355
matmult,64,2048,7000,1.652667046,1178.4375,57.54089355
matmult,64,2048,7000,1.733917952,1178.671875,57.55233765
matmult,64,2048,7000,1.483256817,1178.671875,57.55233765
matmult,64,2048,7000,1.569938421,1179.023438,57.56950378
matmult,64,2048,7000,2.045599461,1179.035156,57.57007599
matmult,64,2048,7000,3.094409704,1179.035156,57.57007599
matmult,32,2048,3000,0.19974947,246.8007813,12.0508194
matmult,32,2048,3000,0.251058817,247.2265625,12.0716095
matmult,32,2048,3000,0.341116667,247.2265625,12.0716095
matmult,32,2048,3000,0.224519491,247.53125,12.08648682
matmult,32,2048,3000,0.214505434,247.53125,12.08648682
matmult,32,2048,3000,0.268334627,248.0976563,12.11414337
matmult,32,2048,3000,0.261610746,248.1015625,12.11433411
matmult,32,2048,3000,0.207771778,248.1015625,12.11433411
matmult,32,2048,3000,0.20701313,248.1015625,12.11433411
matmult,32,2048,3000,0.220221281,248.1015625,12.11433411
matmult,16,2048,5000,1.935786486,620.6445313,30.30490875
matmult,16,2048,5000,2.015928745,621.0195313,30.3232193
matmult,16,2048,5000,1.700310707,621.0195313,30.3232193
matmult,16,2048,5000,1.80467701,621.0195313,30.3232193
matmult,16,2048,5000,1.678419828,621.0195313,30.3232193
matmult,16,2048,5000,1.832861185,621.0195313,30.3232193
matmult,16,2048,5000,1.894342184,621.0195313,30.3232193
matmult,16,2048,5000,1.701865196,621.0195313,30.3232193
matmult,16,2048,5000,1.677103996,621.1875,30.3314209
matmult,16,2048,5000,1.77372551,621.1875,30.3314209
matmult,48,2048,8000,1.774244308,1526.449219,74.53365326
matmult,48,2048,8000,1.776118279,1526.773438,74.54948425
matmult,48,2048,8000,2.227459192,1526.773438,74.54948425
matmult,48,2048,8000,2.607228756,1526.773438,74.54948425
matmult,48,2048,8000,2.961734056,1526.773438,74.54948425
matmult,48,2048,8000,3.14184165,1526.773438,74.54948425
